ID,Rule,Domain
Clarity-1,Hierarchy must follow F-pattern for text-heavy pages.,General
Motion-1,Keep micro-interactions under 200ms to avoid sluggishness.,Animation
A11y-1,Contrast ratio must be 4.5:1 for standard text (3:1 for large text 18px+).,Accessibility
Form-1,Group related fields and use vertical stacking.,Forms
Z-Index-1,"Use a scale with consistent steps (100, 200, 300...) for layering.",Architecture
Feedback-1,Confirm actions with toast or inline success states — never leave users guessing.,Interactions
Button-1,Primary buttons should have distinct visual weight; only one primary CTA per screen.,UI
Typography-1,Line height should be 1.5x font size for body text; 1.2x for headlines.,UI
Z-Pattern,Use Z-pattern for pages with limited text and strong visual CTAs.,Layout
8pt Grid,Use 8pt increments for all spacing and sizing to maintain visual rhythm.,System
Proximity-1,Group related elements together; use whitespace to separate unrelated content.,Layout
Consistency-1,Keep components visually and behaviorally identical across all screens and pages.,System
Hick-1,"Reduce choices per screen (Hick's Law): more options = longer decision time. Aim for 5–7 max.",General
Fitt-1,"Make tap/click targets large enough for their importance (Fitts's Law). Min 44x44pt on mobile, 32x32px on web.",UI
Recognition-1,"Design for recognition not recall — show options, labels, and icons rather than requiring memorization.",General
Feedback-2,Show system status at all times: loading indicators for >300ms operations; progress bars for >2s operations.,Interactions
Error-1,"Error messages must say what went wrong, why, and exactly how to fix it. Never just 'Error occurred'.",Forms
Onboard-1,Keep onboarding to 3 screens or fewer. Use progressive disclosure — teach by doing not by explaining.,Onboarding
Mobile-1,"Minimum touch target size: 44x44pt iOS, 48x48dp Android. Never smaller.",Mobile
Mobile-2,Place primary navigation in the thumb-friendly zone (bottom 40% of screen on mobile).,Mobile
Mobile-3,Limit bottom navigation to 3–5 items. Use a drawer for secondary/infrequent items.,Navigation
Skeleton-1,"Use skeleton screens instead of spinners for content-heavy loads. Skeleton screens reduce perceived wait time by 20–30%.",Loading
Scroll-1,Infinite scroll is suitable for content feeds. Use pagination for task-completion interfaces (search results, e-commerce).,Navigation
Color-1,"Use the 60-30-10 rule: 60% primary/neutral, 30% secondary, 10% accent.",Color
Color-2,Never use color as the only differentiator for states or data — always pair with icon or label for accessibility.,Color
Color-3,Dark mode: pure black (#000000) only on OLED. Use #121212 or #1A1A1A for most dark surfaces.,Color
Whitespace-1,"Whitespace is not empty space — it is a design element. Increase whitespace around key CTAs to improve click-through.",Layout
Typography-2,Limit a design to 2 font families maximum. Use weight and size variation to create hierarchy within a family.,Typography
Typography-3,"Body text minimum: 16px on web, 14pt on mobile. Never go smaller for paragraph content.",Typography
CTA-1,CTA buttons must contrast sharply with their background. Use action verbs: 'Start Free Trial' not 'Submit'.,UI
CTA-2,Repeat the primary CTA at least twice on long pages — above the fold and after key social proof.,UI
Gestalt-1,"Apply Gestalt principles: similarity, proximity, continuity, and closure guide visual grouping before any label does.",Layout
A11y-2,"All interactive elements must have visible focus states — outline: 2px solid primary-color; outline-offset: 2px.",Accessibility
A11y-3,Every image needs an alt attribute. Decorative images use alt='' to be ignored by screen readers.,Accessibility
A11y-4,All form inputs need associated <label> elements — never rely on placeholder text as a label.,Accessibility
A11y-5,"Modals must trap focus inside, restore focus on close, and dismiss on Escape key press.",Accessibility
A11y-6,Provide a skip-to-main-content link as the first focusable element on every page.,Accessibility
Motion-2,"Always wrap animations in @media (prefers-reduced-motion: reduce) and provide static alternatives.",Animation
Motion-3,"Page transitions: 200–400ms ease-out. Entry animations: 150–300ms. Exit animations: 100–200ms.",Animation
Motion-4,Never animate more than 2–3 CSS properties simultaneously — GPU handles transform and opacity best.,Animation
Motion-5,Animations should serve a purpose: guide attention or communicate state change. Decorative-only motion adds cognitive load.,Animation
Empty-1,"Never leave an empty state blank. Use a helpful message, illustration, and a clear next action.",Interactions
Empty-2,"Empty state copy must be human: 'No messages yet — start a conversation!' not 'No data available'.",Interactions
Modal-1,Modals are for urgent or critical information only. Never use modals for non-blocking content — use drawers or inline.,UI
Modal-2,Always provide a clear visible close button on modals. Never require pressing Escape as the only close method.,UI
