Name,Description,BestFor
Hero-Centric + Social Proof,Visual header + testimonials,Low friction products
Feature-Rich Showcase,Explainer sections with visual cues,SaaS platforms
Conversion-Optimized Funnel,"Aggressive CTAs, benefits-first",Lead generation
Minimal & Direct,"Single action, very low noise",Utilities
Interactive Demo,Embedded product sandbox,DevTools
Pricing-Forward,Tiered plans above the fold,Subscriptions
Storytelling-Driven,Long-form scrolling narrative,Brand launches
Trust & Authority,"Partners, badges, security focus",B2B Financial
Waitlist / Coming Soon,"Signup focus, mystery",Beta launches
Portfolio Grid,Visual work display,Creative pros
Before & After Transformation,"Side-by-side result proof, outcome-first headline, strong visual contrast",Health / Fitness / Coaching / Beauty
Webinar & Event Registration,"Speaker bio, agenda, countdown timer, date/time prominence, single registration form",Webinars / Online Events / Conferences
App Download (Mobile-First),"App store badges hero, device mockup, 3 key features, zero-friction CTA",Mobile Apps / Consumer Software
Newsletter & Lead Magnet,"Value-exchange hero, preview of content, minimal form (email only), privacy reassurance",Email Lists / Content Creators / Media
Competitor Comparison,"Feature table, pricing gap visualization, side-by-side proof, objection handling",Challenger brands / Alternatives
Community & Membership,"Member count social proof, recurring value highlights, tiered access, belonging-focused copy",Forums / DAOs / Paid Communities / Cohorts
Video-First Hero,"Full-width autoplay video background, minimal text overlay, single bold CTA, muted loop",Brand storytelling / Consumer products / Entertainment
Long-Form Sales Letter,"Problem agitation, narrative arc, layered objection handling, multiple CTA placements, guarantee block",High-ticket offers / Info products / Courses
Case Study & Results-Forward,"Headline stat, named client proof, measurable outcome table, before/after metrics",Agencies / Consultancies / B2B Services
Freemium Upsell,"Free tier prominently offered, upgrade benefits just below fold, feature gating table",SaaS with free plan / Productivity tools
Product Launch & Reveal,"Countdown urgency, staged reveal sections, early-bird pricing, teaser visual",New product releases / Limited editions / Hardware
Quiz & Assessment Funnel,"Interactive multi-step quiz, personalized result, segmented CTA based on answer path",EdTech / Health / Finance / Personalization products
Real Estate & High-Ticket,"Gallery hero, floor plan / spec detail, qualification form, luxury trust signals",Real estate / Luxury goods / Premium services
Thank You & Post-Conversion,"Conversion confirmation, clear next steps, secondary CTA (share / book / upgrade), referral prompt",Post-form / Post-purchase flows
AI & Agentic Product Demo,"Live AI input field in hero, example outputs visible immediately, no login required to try",AI products / Copilots / LLM-powered tools
E-commerce Category,"Product grid above fold, filter bar, sale urgency tags, trust bar (returns / shipping), add-to-cart",Online stores / DTC / Fashion / Electronics
Course & Education,"Curriculum outline, instructor credibility, student outcome stats, module preview, certificate badge",Online courses / Bootcamps / EdTech
Job Board & Talent,"Role list or search as hero, company logos, salary range visibility, one-click apply",Hiring platforms / Talent marketplaces / Career tools
Modular Bento Showcase,"Grid of feature cards with varying sizes, each cell self-contained, scannable at a glance",Product feature pages / Design tools / API platforms
Referral & Viral Loop,"Reward visualization, share mechanic front-and-center, counter of referred friends, urgency window",Referral programs / Growth loops / Consumer apps
