Heading,Body,Mood
Space Grotesk,Inter,Modern SaaS
Sora,DM Sans,Fintech
Playfair Display,Source Serif,Editorial
Clash Display,Satoshi,Design Agency
Syne,Rajdhani,AI/Futuristic
Cormorant Garamond,Montserrat,Luxury
Nunito,Open Sans,Healthcare
Fredoka One,Quicksand,Kids
Outfit,Plus Jakarta Sans,Marketplace
Cabinet Grotesk,General Sans,Product Branding
Montserrat,Source Sans Pro,Bold & Modern Corporate
Manrope,Inter,Productivity & Admin UI
Poppins,Lato,Friendly Consumer App
Raleway,Merriweather,Elegant Blog / Content Site
IBM Plex Sans,IBM Plex Serif,Enterprise Editorial
Arvo,Roboto,Structured Tech Brand
Bitter,Source Sans Pro,Education & Publishing
Oswald,Lato,News & Sport Media
Fjalla One,Merriweather Sans,Impact Headlines
Lora,Roboto,Classic Digital Magazine
EB Garamond,Lato,Premium Wellness Blog
DM Serif Display,Nunito,Boutique Creative Brand
Playfair Display,Lato,Fashion & Lifestyle
Rufina,Libre Baskerville,Literary & Academic
Fraunces,Jost,Artisan & Craft Brand
Bodoni Moda,Raleway,High Fashion Editorial
Albert Sans,Barlow,Approachable Web App
Rubik,Noto Sans,Multilingual & Global Platform
Josefin Sans,Cardo,Architectural Minimalism
Cinzel,Fauna One,Heritage & Museum
Gravitas One,Poppins,Bold Brand Moments / Vintage
Abril Fatface,Source Sans Pro,Magazine Cover & Poster
Righteous,Hind,Retro-Modern App
Exo 2,Barlow,Gaming & Sports
Michroma,Share Tech Mono,Sci-Fi / HUD Interface
Titillium Web,PT Sans,Government & Civic Tech
Spectral,Roboto Mono,Research & Documentation
Alegreya,Alegreya Sans,Long-Form Reading & Books
Work Sans,Karla,Clean Startup Landing Page
Lexend,Open Sans,Dyslexia-Friendly Accessibility
Bebas Neue,Roboto,Street / Urban Brand
Anton,Raleway,Bold Campaign & Advertising
Permanent Marker,Nunito,Informal Hand-Drawn Brand
Sacramento,Barlow,Romantic / Wedding / Script Accent
Dancing Script,Lato,Casual Lifestyle Blog
Pacifico,Raleway,Playful Consumer Product
Lobster,Source Sans Pro,Retro Diner / Food Brand
Comfortaa,Nunito,Soft Rounded Consumer App
Rokkitt,Lato,Modern Slab Tech Brand
Yeseva One,Josefin Sans,Elegant Modern Femininity
Kanit,Sarabun,Thai-Latin Bilingual Interface
Noto Serif,Noto Sans,Universal Multilingual Coverage
Libre Baskerville,Open Sans,Classic Trust & Authority
Crimson Text,Muli,Academic & Long-Form Content
Cardo,Questrial,Luxury Portfolio & Personal Site
Literata,Inter,E-Reader Optimized
Caveat,Karla,Handwritten Warmth & Lifestyle
